App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres
Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19e+6,10000,Free,0.0,Everyone,Art & Design
Coloring book moana,ART_AND_DESIGN,3.9,967,14e+6,500000,Free,0.0,Everyone,Art & Design;Pretend Play
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510,8.7e+6,5000000,Free,0.0,Everyone,Art & Design
Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644,25e+6,50000000,Free,0.0,Teen,Art & Design
Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967,2.8e+6,100000,Free,0.0,Everyone,Art & Design;Creativity
Paper flowers instructions,ART_AND_DESIGN,4.4,167,5.6e+6,50000,Free,0.0,Everyone,Art & Design
Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,178,19e+6,50000,Free,0.0,Everyone,Art & Design
Infinite Painter,ART_AND_DESIGN,4.1,36815,29e+6,1000000,Free,0.0,Everyone,Art & Design
Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33e+6,1000000,Free,0.0,Everyone,Art & Design
Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,121,3.1e+6,10000,Free,0.0,Everyone,Art & Design;Creativity
Text on Photo - Fonteee,ART_AND_DESIGN,4.4,13880,28e+6,1000000,Free,0.0,Everyone,Art & Design
Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,8788,12e+6,1000000,Free,0.0,Everyone,Art & Design
Tattoo Name On My Photo Editor,ART_AND_DESIGN,4.2,44829,20e+6,10000000,Free,0.0,Teen,Art & Design
Mandala Coloring Book,ART_AND_DESIGN,4.6,4326,21e+6,100000,Free,0.0,Everyone,Art & Design
3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518,37e+6,100000,Free,0.0,Everyone,Art & Design
Learn To Draw Kawaii Characters,ART_AND_DESIGN,3.2,55,2.7e+6,5000,Free,0.0,Everyone,Art & Design
Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,3632,5.5e+6,500000,Free,0.0,Everyone,Art & Design
350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,27,17e+6,10000,Free,0.0,Everyone,Art & Design
FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39e+6,5000000,Free,0.0,Everyone,Art & Design
ibis Paint X,ART_AND_DESIGN,4.6,224399,31e+6,10000000,Free,0.0,Everyone,Art & Design
Logo Maker - Small Business,ART_AND_DESIGN,4.0,450,14e+6,100000,Free,0.0,Everyone,Art & Design
Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12e+6,100000,Free,0.0,Everyone,Art & Design
Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4.7,7699,4.2e+6,500000,Free,0.0,Everyone 10+,Art & Design
Mcqueen Coloring pages,ART_AND_DESIGN,4.4,61,7.0e+6,100000,Free,0.0,Everyone,Art & Design;Action & Adventure
HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4.7,118,23e+6,50000,Free,0.0,Everyone,Art & Design
Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,192,6.0e+6,10000,Free,0.0,Everyone,Art & Design
Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25e+6,500000,Free,0.0,Everyone,Art & Design;Creativity
Animated Photo Editor,ART_AND_DESIGN,4.1,203,6.1e+6,100000,Free,0.0,Everyone,Art & Design
Pencil Sketch Drawing,ART_AND_DESIGN,3.9,136,4.6e+6,10000,Free,0.0,Everyone,Art & Design
Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,223,4.2e+6,100000,Free,0.0,Everyone,Art & Design
Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4.2,1120,9.2e+6,100000,Free,0.0,Everyone,Art & Design
Art Drawing Ideas,ART_AND_DESIGN,4.1,227,5.2e+6,50000,Free,0.0,Everyone,Art & Design
Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11e+6,100000,Free,0.0,Everyone,Art & Design
Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11e+6,100000,Free,0.0,Everyone,Art & Design
I Creative Idea,ART_AND_DESIGN,4.7,353,4.2e+6,10000,Free,0.0,Teen,Art & Design
How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564,9.2e+6,100000,Free,0.0,Everyone,Art & Design
UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,8145,24e+6,500000,Free,0.0,Everyone,Art & Design;Creativity
PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158,11e+6,10000,Free,0.0,Everyone,Art & Design
How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4.0,591,9.4e+6,500000,Free,0.0,Everyone,Art & Design
Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117,15e+6,10000,Free,0.0,Everyone,Art & Design
Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176,10e+6,100000,Free,0.0,Everyone,Art & Design
Paint Splash!,ART_AND_DESIGN,3.8,2206,1.2e+6,100000,Free,0.0,Everyone,Art & Design;Creativity
Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26,12e+6,10000,Free,0.0,Everyone,Art & Design
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24e+6,10000000,Free,0.0,Everyone,Art & Design
Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,1070,26e+6,100000,Free,0.0,Everyone,Art & Design
Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,85,8.0e+6,100000,Free,0.0,Everyone,Art & Design
How To Draw Food,ART_AND_DESIGN,4.3,845,7.9e+6,100000,Free,0.0,Everyone,Art & Design
Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367,25e+6,100000,Free,0.0,Everyone,Auto & Vehicles
Real Tractor Farming,AUTO_AND_VEHICLES,4.0,1598,56e+6,1000000,Free,0.0,Everyone,Auto & Vehicles
Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3.8,284,57e+6,100000,Free,0.0,Everyone,Auto & Vehicles
American Muscle Car Race,AUTO_AND_VEHICLES,3.9,129,35e+6,100000,Free,0.0,Everyone,Auto & Vehicles
Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,542,33e+6,100000,Free,0.0,Everyone,Auto & Vehicles
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33e+6,100000,Free,0.0,Everyone,Auto & Vehicles
Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805,5.6e+6,50000,Free,0.0,Everyone,Auto & Vehicles
Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129,54e+6,100000,Free,0.0,Everyone,Auto & Vehicles
Restart Navigator,AUTO_AND_VEHICLES,4.0,1403,201e+3,100000,Free,0.0,Everyone,Auto & Vehicles
"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3.6e+6,100000,Free,0.0,Everyone,Auto & Vehicles
CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5.7e+6,10000,Free,0.0,Everyone,Auto & Vehicles
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17e+6,100000,Free,0.0,Everyone,Auto & Vehicles
"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846,8.6e+6,1000000,Free,0.0,Everyone,Auto & Vehicles
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4e+6,100000,Free,0.0,Everyone,Auto & Vehicles
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27e+6,100000,Free,0.0,Everyone,Auto & Vehicles
Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295,2.7e+6,10000,Free,0.0,Everyone,Auto & Vehicles
